version,cve
2026.01.1,
2026.01.0,
2025.12.1,
2025.12.0,
2025.11.0,
2025.10.0,
2025.09.1,
2025.09.0,CVE-2025-47906
2025.09.0,CVE-2025-47907
2025.09.0,CVE-2025-47906
2025.09.0,CVE-2025-47907
2025.07.0,CVE-2025-4674
2025.07.0,CVE-2025-4674
2025.06.0,CVE-2025-4673
2025.06.0,CVE-2025-0913
2025.06.0,CVE-2025-22874
2025.06.0,CVE-2025-4673
2025.06.0,CVE-2025-0913
2025.06.0,CVE-2025-22874
2025.05.0,CVE-2025-22873
2025.05.0,CVE-2025-30204
2025.05.0,CVE-2025-22873
2025.05.0,CVE-2025-30204
2025.04.0,CVE-2025-22872
2025.04.0,CVE-2025-22871
2025.04.0,CVE-2025-22872
2025.04.0,CVE-2025-22871
2025.03.0,CVE-2025-22870
2025.03.0,CVE-2025-22870
2025.02.0,CVE-2025-22866
2025.02.0,CVE-2025-22868
2025.02.0,CVE-2025-22869
2025.02.0,CVE-2025-22866
2025.02.0,CVE-2025-22868
2025.02.0,CVE-2025-22869
2025.01.0,CVE-2024-45339
2025.01.0,CVE-2024-45341
2025.01.0,CVE-2024-45336
2025.01.0,CVE-2024-45339
2025.01.0,CVE-2024-45341
2025.01.0,CVE-2024-45336
2024.12.0,CVE-2024-45337
2024.12.0,CVE-2024-45338
2024.12.0,CVE-2024-45337
2024.12.0,CVE-2024-45338
2024.11.0,
2024.09.0,CVE-2024-34155
2024.09.0,CVE-2024-34156
2024.09.0,CVE-2024-34158
2024.09.0,CVE-2024-34155
2024.09.0,CVE-2024-34156
2024.09.0,CVE-2024-34158
2024.08.0,CVE-2024-24791
2024.08.0,CVE-2019-25211
2024.08.0,CVE-2024-24791
2024.08.0,CVE-2019-25211
2024.06.0,CVE-2024-24786
2024.06.0,CVE-2024-24789
2024.06.0,CVE-2024-24790
2024.06.0,CVE-2024-24786
2024.06.0,CVE-2024-24789
2024.06.0,CVE-2024-24790
2024.05.0,CVE-2024-24787
2024.05.0,CVE-2024-24788
2024.05.0,CVE-2024-24787
2024.05.0,CVE-2024-24788
2024.04.1,
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39319
2024.04.0,CVE-2023-39321
2024.04.0,CVE-2023-45288
2024.04.0,CVE-2023-45857
2024.04.0,CVE-2024-31207
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39319
2024.04.0,CVE-2023-39321
2024.04.0,CVE-2023-45288
2024.04.0,CVE-2023-45857
2024.04.0,CVE-2024-31207
2024.03.0,
2024.02.0,CVE-2023-7104
2024.02.0,CVE-2023-7104
2024.01.0,CVE-2023-48795
2024.01.0,CVE-2023-45683
2024.01.0,CVE-2023-48795
2024.01.0,CVE-2023-45683
2023.12.0,CVE-2023-45283
2023.12.0,CVE-2023-45284
2023.12.0,CVE-2023-39326
2023.12.0,CVE-2023-45285
2023.12.0,CVE-2023-45283
2023.12.0,CVE-2023-45284
2023.12.0,CVE-2023-39326
2023.12.0,CVE-2023-45285
2023.10.0,CVE-2023-39323
2023.10.0,CVE-2023-39325
2023.10.0,CVE-2023-44487
2023.10.0,CVE-2023-39323
2023.10.0,CVE-2023-39325
2023.10.0,CVE-2023-44487
2023.09.0,CVE-2023-29409
2023.09.0,CVE-2023-39318
2023.09.0,CVE-2023-39319
2023.09.0,CVE-2023-39320
2023.09.0,CVE-2023-39321
2023.09.0,CVE-2023-39322
2023.09.0,CVE-2023-26117
2023.09.0,CVE-2023-26116
2023.09.0,CVE-2023-26118
2023.09.0,CVE-2023-29409
2023.09.0,CVE-2023-39318
2023.09.0,CVE-2023-39319
2023.09.0,CVE-2023-39320
2023.09.0,CVE-2023-39321
2023.09.0,CVE-2023-39322
2023.09.0,CVE-2023-26117
2023.09.0,CVE-2023-26116
2023.09.0,CVE-2023-26118
2023.07.0,CVE-2023-29406
2023.07.0,CVE-2023-29406
2023.06.0,CVE-2023-29401
2023.06.0,CVE-2023-29402
2023.06.0,CVE-2023-29403
2023.06.0,CVE-2023-29404
2023.06.0,CVE-2023-29405
2023.06.0,CVE-2023-29401
2023.06.0,CVE-2023-29402
2023.06.0,CVE-2023-29403
2023.06.0,CVE-2023-29404
2023.06.0,CVE-2023-29405
2023.05.0,CVE-2023-24537
2023.05.0,CVE-2023-24538
2023.05.0,CVE-2023-24534
2023.05.0,CVE-2023-24536
2023.05.0,CVE-2023-28119
2023.05.0,CVE-2022-41912
2023.05.0,CVE-2023-24539
2023.05.0,CVE-2023-24540
2023.05.0,CVE-2023-29400
2023.05.0,CVE-2023-26125
2023.05.0,CVE-2022-38131
2023.05.0,CVE-2023-24537
2023.05.0,CVE-2023-24538
2023.05.0,CVE-2023-24534
2023.05.0,CVE-2023-24536
2023.05.0,CVE-2023-28119
2023.05.0,CVE-2022-41912
2023.05.0,CVE-2023-24539
2023.05.0,CVE-2023-24540
2023.05.0,CVE-2023-29400
2023.05.0,CVE-2023-26125
2023.05.0,CVE-2022-38131
2023.03.0,CVE-2022-41722
2023.03.0,CVE-2022-41725
2023.03.0,CVE-2022-41724
2023.03.0,CVE-2022-41723
2023.03.0,CVE-2023-24532
2023.03.0,CVE-2022-41722
2023.03.0,CVE-2022-41725
2023.03.0,CVE-2022-41724
2023.03.0,CVE-2022-41723
2023.03.0,CVE-2023-24532
2023.01.1,
2023.01.0,
2022.12.0,CVE-2022-0536
2022.12.0,CVE-2022-41720
2022.12.0,CVE-2022-41717
2022.12.0,CVE-2022-0536
2022.12.0,CVE-2022-41720
2022.12.0,CVE-2022-41717
2022.11.0,CVE-2022-25844
2022.11.0,CVE-2022-25869
2022.11.0,CVE-2022-41716
2022.11.0,CVE-2022-25844
2022.11.0,CVE-2022-25869
2022.11.0,CVE-2022-41716
2022.10.0,CVE-2022-2879
2022.10.0,CVE-2022-2880
2022.10.0,CVE-2022-41715
2022.10.0,CVE-2022-32149
2022.10.0,CVE-2022-2879
2022.10.0,CVE-2022-2880
2022.10.0,CVE-2022-41715
2022.10.0,CVE-2022-32149
2022.09.0,CVE-2022-28948
2022.09.0,CVE-2022-27664
2022.09.0,CVE-2022-32190
2022.09.0,CVE-2022-28948
2022.09.0,CVE-2022-27664
2022.09.0,CVE-2022-32190
2022.08.1,
2022.08.0,CVE-2022-32189
2022.08.0,CVE-2022-32189
2022.07.0,CVE-2022-1705
2022.07.0,CVE-2022-32148
2022.07.0,CVE-2022-30631
2022.07.0,CVE-2022-30633
2022.07.0,CVE-2022-28131
2022.07.0,CVE-2022-30635
2022.07.0,CVE-2022-30632
2022.07.0,CVE-2022-30630
2022.07.0,CVE-2022-1962
2022.07.0,CVE-2022-1705
2022.07.0,CVE-2022-32148
2022.07.0,CVE-2022-30631
2022.07.0,CVE-2022-30633
2022.07.0,CVE-2022-28131
2022.07.0,CVE-2022-30635
2022.07.0,CVE-2022-30632
2022.07.0,CVE-2022-30630
2022.07.0,CVE-2022-1962
2022.06.2,
2022.06.0,CVE-2022-30634
2022.06.0,CVE-2022-30629
2022.06.0,CVE-2022-30580
2022.06.0,CVE-2022-29804
2022.06.0,CVE-2022-30634
2022.06.0,CVE-2022-30629
2022.06.0,CVE-2022-30580
2022.06.0,CVE-2022-29804
2022.05.1,
2022.05.0,CVE-2022-21698
2022.05.0,CVE-2020-28483
2022.05.0,CVE-2022-29526
2022.05.0,CVE-2022-21698
2022.05.0,CVE-2020-28483
2022.05.0,CVE-2022-29526
2022.04.3,
2022.04.2,
2022.04.1,
2022.04.0,CVE-2022-24675
2022.04.0,CVE-2022-28327
2022.04.0,CVE-2022-27536
2022.04.0,CVE-2022-24675
2022.04.0,CVE-2022-28327
2022.04.0,CVE-2022-27536
2022.03.3,
2022.03.2,
2022.03.1,
2022.03.0,CVE-2022-24921
2022.03.0,CVE-2022-27191
2022.03.0,CVE-2022-24921
2022.03.0,CVE-2022-27191
2022.02.4,
2022.02.3,
2022.02.2,
2022.02.0,CVE-2020-7676
2022.02.0,CVE-2019-10768
2022.02.0,CVE-2022-23806
2022.02.0,CVE-2022-23772
2022.02.0,CVE-2022-23773
2022.02.0,CVE-2020-7676
2022.02.0,CVE-2019-10768
2022.02.0,CVE-2022-23806
2022.02.0,CVE-2022-23772
2022.02.0,CVE-2022-23773
2021.12.1,
2021.12.0,CVE-2021-43565
2021.12.0,CVE-2021-44716
2021.12.0,CVE-2021-44717
2021.12.0,CVE-2021-43565
2021.12.0,CVE-2021-44716
2021.12.0,CVE-2021-44717
2021.11.1,
2021.11.0,CVE-2021-41772
2021.11.0,CVE-2021-41771
2021.11.0,CVE-2021-41772
2021.11.0,CVE-2021-41771
2021.10.0,CVE-2021-38297
2021.10.0,CVE-2021-39293
2021.10.0,CVE-2021-38297
2021.10.0,CVE-2021-39293
2021.09.0,
2021.08.2,
2021.08.1,CVE-2021-3664
2021.08.1,CVE-2021-27515
2021.08.0,CVE-2021-36221
